"Payment Status","Estado del pago"
"Created at","Fecha de creación"
"Payment id","Id de pago"
"Payment type","Tipo de pago"
Installments,Cuotas
"Error Payment notification is expected","Error Notificación de pago es requerida"
"Error Order Not Found in Magento: ","Error no se encontró el pedido: "
"Order already canceled: ","El pedido ya se encuentra cancelado: "
"Error Payment not found in Naranja","Error no se encontró el pago en Naranja"
"Transaction automatically approved by Naranja","Transacción aprobada automáticamente por Naranja"
"Transaction automatically denied by Naranja","Transacción denegada automáticamente por Naranja"
"-- Please Select --","-- Seleccionar --"
Sandbox,Sandbox
Production,Production
"Payment model does not provided.","Payment model does not provided."
Naranja,Naranja
Advanced,Advanced
Environment,Environment
"Log to File","Log to File"
Credentials,Credentials
"Client Id","Client Id"
"Access Token","Access Token"
General,General
Enabled,Enabled
Title,Title
"New Order Status","New Order Status"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
Instructions,Instructions
"Sort Order","Sort Order"
